Country,Date Program/ Agency Established,Satellites Currently in Orbit/GSO,Moon Treaty Participant,Moon Treaty Participant Numeric,Space Travelling Astronauts,Outer Space Treaty Signatory,Outer Space Treaty Signatory Numeric,OST Date of Signature 1,OST Date of Signature,OST Year of Signature,OST Consent to be bound,OST Consent to be Bound Year,National Space Agency or Program,National Space Agency or Program Numeric,Name of Space Agency or Program,Artemis Accords Signatory,Artemis Accords Signatory Numeric
Palestine,,0,No,0,0,No,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
Panama,,0,No,0,0,Yes,1.00,01-27-1967,"January 27, 1967",1967,"August 9, 2023",2023,No,0,N/A,Yes,1
Papua New Guinea,,2,No,0,0,Yes,1.00,#N/A,#N/A,#N/A,"March 16, 1981",1981,No,0,N/A,No,0
Paraguay,,0,No,0,0,No,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
Peru,,3,Yes,1,1,Yes,1.00,06-30-1967,"June 30, 1967",1967,"March 21, 1979",1979,Yes,1,Space Agency Of Peru (CONIDA),Yes,1
Philippines,,2,Yes,1,0,Yes,1.00,03-21-1979,"March 21, 1979",1979,#N/A,#N/A,Yes,1,Philippine Space Agency (PhilSA),No,0
Poland,,8,No,0,1,Yes,1.00,03-21-1979,"March 21, 1979",1979,"January 30, 1968",1968,No,0,N/A,Yes,1
Portugal,,4,No,0,0,No,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,Yes,1,Portugal Space,No,0
Qatar,,1,No,0,0,Yes,1.00,#N/A,#N/A,#N/A,"March 13, 2012",2012,No,0,N/A,No,0
Republic of the Sudan,,0,No,0,0,No,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
Romania,,1,Yes,1,1,Yes,1.00,01-27-1967,"January 27, 1967",1967,"April 9, 1968",1968,Yes,1,The Romanian Space Agency (ROSA),Yes,1
Russian Federation,,1689,No,0,124,Yes,1.00,01-27-1967,"January 27, 1967",1967,"October 10, 1967",1967,Yes,1,"State Space Corporation ""Roscosmos"" (ROSCOSMOS)",No,0
Rwanda,,6,No,0,0,Yes,1.00,01-27-1967,"January 27, 1967",1967,#N/A,#N/A,No,0,N/A,Yes,1
Saint Kitts and Nevis,,0,No,0,0,No,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
Saint Lucia,,0,No,0,0,No,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
Samoa,,0,No,0,0,No,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
San Marino,,0,No,0,0,Yes,1.00,04-21-1967,"April 21, 1967",1967,"October 29, 1968",1968,No,0,N/A,No,0
São Tomé and Príncipe,,0,No,0,0,No,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
Saudi Arabia,,17,No,0,1,Yes,1.00,#N/A,#N/A,#N/A,"December 17, 1976",1976,Yes,1,Saudi Space Commission (SSC),Yes,1
Senegal,,1,No,0,0,No,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
Serbia,,0,No,0,0,No,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
Seychelles,,0,No,0,0,No,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
Sierra Leone,,0,No,0,0,Yes,1.00,05-16-1967,"May 16, 1967",1967,"July 14, 1967",1967,No,0,N/A,No,0
Singapore,,27,No,0,0,Yes,1.00,#N/A,#N/A,#N/A,"September 10, 1976",1976,No,0,N/A,Yes,1
Slovakia,,4,No,0,2,Yes,1.00,#N/A,#N/A,#N/A,"January 1, 1993",1993,No,0,N/A,Yes,1
Slovenia,,2,No,0,0,No,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,No,0,N/A,Yes,1
Solomon Islands,,0,No,0,0,No,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
Somalia,,0,No,0,0,Yes,1.00,02-02-1967,"February 2, 1967",1967,#N/A,#N/A,No,0,N/A,No,0
